dates,indx
01/01/2001,101.346436
01/02/2001,102.06035
01/03/2001,102.597404
01/04/2001,103.00011
01/05/2001,103.295944
01/06/2001,103.95754
01/07/2001,104.77146
01/08/2001,106.13516
01/09/2001,106.43279
01/10/2001,107.276695
01/11/2001,108.098
01/12/2001,108.70368
01/01/2002,110.02833
01/02/2002,110.93223
01/03/2002,111.5382
01/04/2002,112.21136
01/05/2002,112.61951
01/06/2002,113.19886
01/07/2002,114.08634
01/08/2002,114.29257
01/09/2002,114.19531
01/10/2002,114.64486
01/11/2002,115.30567
01/12/2002,115.98808
01/01/2003,117.3582
01/02/2003,118.15614
01/03/2003,118.67975
01/04/2003,119.20014
01/05/2003,119.43781
01/06/2003,119.70127
01/07/2003,119.95883
01/08/2003,120.2702
01/09/2003,120.795074
01/10/2003,121.25855
01/11/2003,121.76353
01/12/2003,122.4327
01/01/2004,124.28644
01/02/2004,125.20009
01/03/2004,125.927025
01/04/2004,126.62768
01/05/2004,127.636765
01/06/2004,128.14256
01/07/2004,128.70317
01/08/2004,129.0543
01/09/2004,129.97119
01/10/2004,131.13106
01/11/2004,132.37444
01/12/2004,133.05063
01/01/2005,134.65245
01/02/2005,135.47844
01/03/2005,136.05698
01/04/2005,136.9123
01/05/2005,137.50533
01/06/2005,138.18274
01/07/2005,139.32382
01/08/2005,139.85814
01/09/2005,141.13994
01/10/2005,143.2438
01/11/2005,143.44739
01/12/2005,143.37947
01/01/2006,144.46968
01/02/2006,144.67563
01/03/2006,145.35997
01/04/2006,146.42012
01/05/2006,147.47012
01/06/2006,148.19502
01/07/2006,148.82869
01/08/2006,149.34366
01/09/2006,149.0837
01/10/2006,149.04198
01/11/2006,149.72635
01/12/2006,151.41841
01/01/2007,153.21725
01/02/2007,153.79861
01/03/2007,154.88472
01/04/2007,155.40518
01/05/2007,155.282
01/06/2007,155.96747
01/07/2007,156.68607
01/08/2007,157.82224
01/09/2007,158.70126
01/10/2007,159.24478
01/11/2007,161.67383
01/12/2007,163.2537
01/01/2008,164.67383
01/02/2008,165.82933
01/03/2008,167.2643
01/04/2008,169.44388
01/05/2008,171.8396
01/06/2008,174.32701
01/07/2008,176.4416
01/08/2008,177.33295
01/09/2008,177.63187
01/10/2008,178.17944
01/11/2008,178.45776
01/12/2008,177.84325
01/01/2009,176.91354
01/02/2009,176.15
01/03/2009,175.92853
01/04/2009,176.05966
01/05/2009,176.46698
01/06/2009,176.74532
01/07/2009,177.26999
01/08/2009,177.69545
01/09/2009,179.04893
01/10/2009,178.83473
01/11/2009,179.15428
01/12/2009,179.14812
01/01/2010,181.70404
01/02/2010,182.52269
01/03/2010,184.3833
01/04/2010,184.5279
01/05/2010,184.36818
01/06/2010,185.17155
01/07/2010,185.72186
01/08/2010,185.74803
01/09/2010,186.22617
01/10/2010,187.38786
01/11/2010,188.40584
01/12/2010,188.82208
01/01/2011,190.27722
01/02/2011,191.4992
01/03/2011,192.94162
01/04/2011,194.32869
01/05/2011,195.30652
01/06/2011,196.51192
01/07/2011,198.44464
01/08/2011,199.63203
01/09/2011,199.6256
01/10/2011,199.71588
01/11/2011,200.24738
01/12/2011,200.74733
01/01/2012,200.91685
01/02/2012,201.94527
01/03/2012,202.57668
01/04/2012,203.35345
01/05/2012,203.71727
01/06/2012,204.01236
01/07/2012,204.66684
01/08/2012,205.46147
01/09/2012,206.28352
01/10/2012,206.16714
01/11/2012,206.31554
01/12/2012,207.90959
01/01/2013,208.93347
01/02/2013,210.69415
01/03/2013,211.6874
01/04/2013,212.04576
01/05/2013,212.51451
01/06/2013,213.71819
01/07/2013,214.29033
01/08/2013,214.67624
01/09/2013,215.34451
01/10/2013,215.25365
01/11/2013,216.06851
01/12/2013,216.75757
01/01/2014,217.3318
01/02/2014,217.68135
01/03/2014,218.13535
