dates,ln_y,ln_cpi,i,
2001Q1,1112.49,340.4,5.79,
2001Q2,1112.45,341.88,4.82,
2001Q3,1112.52,344.27,4.76,
2001Q4,1116.15,346.3,4.64,
2002Q1,1115.48,349.02,4.67,2.99
2002Q2,1117.36,350.71,4.42,4.91
2002Q3,1118.4,351.94,4.49,5.88
2002Q4,1119.14,352.52,4.03,2.99
2003Q1,1119.99,354.84,2.19,4.51
2003Q2,1119.6,356.06,0.93,2.24
2003Q3,1120.62,356.91,1.44,2.22
2003Q4,1120.48,358.2,1.83,1.34
2004Q1,1121.69,360.99,1.88,1.7
2004Q2,1122.23,362.92,2.09,2.63
2004Q3,1123.47,364.4,2.4,2.85
2004Q4,1124.97,366.84,2.39,4.49
2005Q1,1125.11,369.56,2.64,3.42
2005Q2,1126.94,371.3,2.86,4.71
2005Q3,1125.83,373.36,3.34,2.36
2005Q4,1126.52,375.8,3.9,1.55
2006Q1,1130.15,376.83,4.25,5.04
2006Q2,1129.65,378.57,4.45,2.71
2006Q3,1132.24,379.73,4.93,6.41
2006Q4,1133.92,380.37,5,7.4
2007Q1,1136.52,383.24,5.01,6.37
2007Q2,1136.56,384.14,5.43,6.91
2007Q3,1137.94,385.9,5.51,5.7
2007Q4,1138.46,388.55,6.02,4.54
2008Q1,1139.76,391.63,6.51,3.24
2008Q2,1142.05,395.52,6.75,5.49
2008Q3,1141.03,398.59,7.13,3.09
2008Q4,1141.09,399.03,7.25,2.63
2009Q1,1139.94,397.88,6.88,0.18
2009Q2,1140.99,397.67,5.8,-1.06
2009Q3,1142.4,398.26,4.86,1.37
2009Q4,1143.1,398.52,4.5,2.01
2010Q1,1143.18,400.46,4.5,3.24
2010Q2,1143.99,401.37,4.5,3
2010Q3,1144.15,402.17,4.5,1.75
2010Q4,1146.24,403.45,4.5,3.14
2011Q1,1147.21,405.31,4.5,4.03
2011Q2,1148.32,407.38,4.75,4.33
2011Q3,1149.71,409.22,4.92,5.56
2011Q4,1149.82,409.56,5.5,3.58
2012Q1,1150.98,410.31,5.5,3.77
2012Q2,1150.98,411.19,5.5,2.66
2012Q3,1152.09,412.13,5,2.38
2012Q4,1153.42,412.8,5,3.6
2013Q1,1153.87,414.35,5,2.89
2013Q2,1155.29,415.49,5.25,4.31
2013Q3,1155.74,416.49,5.25,3.65
2013Q4,1156.28,417.1,5,2.86
2014Q1,1157.96,417.92,5,4.09
2014Q2,1159.51,418.65,4.75,4.22
2014Q3,1159.88,419.95,4.5,4.14
2014Q4,1161.2,420.37,4.33,4.92
2015Q1,1162.55,420.28,3.83,4.59
2015Q2,1162.56,421.12,3.5,3.05
2015Q3,1164.64,421.98,3.25,4.76
2015Q4,1164.84,422.94,3,3.64
2016Q1,1164.22,424.5,3,1.67
2016Q2,1166.26,425.33,3,3.7
2016Q3,1166.63,426.52,3,1.99
2016Q4,1167.99,427.39,3,3.15
2017Q1,1168.86,428.35,3,4.64
2017Q2,1168.83,429.37,3,2.57
2017Q3,1169.67,431.17,3,3.04
2017Q4,1169.83,432.13,2.83,1.84
2018Q1,1171.59,432.59,2.75,2.73
2018Q2,1173.19,433.23,2.75,4.36
2018Q3,1173.06,434.61,2.75,3.39
2018Q4,1172.74,435.34,2.75,2.91
2019Q1,1175.36,436.75,2.75,3.77
2019Q2,1177.1,437.82,2.75,3.91
2019Q3,1176.97,437.63,2.75,3.91
2019Q4,1176.94,438.13,2.75,4.2
2020Q1,1176.28,438.33,2.75,0.92
2020Q2,1167.46,439.82,2,-9.64
2020Q3,1175.44,441.55,1.75,-1.53
2020Q4,1179.43,443.21,1.75,2.49
2021Q1,1180.78,443.87,1.75,4.5
2021Q2,1181.89,444.47,1.75,14.43
2021Q3,1183.15,445.19,1.75,7.71
2021Q4,1184.37,446.14,1.75,4.94
2022Q1,1185.29,447.15,1.75,4.51
2022Q2,1186.44,450.29,2,4.55
2022Q3,1186.93,453.58,2.67,3.78
2022Q4,1188.02,455.1,3.5,3.65
2023Q1,1189.29,456.17,4.42,4
2023Q2,1190.4,456.67,4.92,3.96
2023Q3,1190.82,458.04,5,3.89
2023Q4,1190.13,459.48,5,2.11
2024Q1,1192.09,459.56,5,2.8
2024Q2,1193.93,460.18,5,3.53
2024Q3,1194.25,460.99,4.92,3.43
2024Q4,1194.64,460.98,4.58,4.51
2025Q1,1195.76,461.4,4.5,3.67
2025Q2,1195.8,461.82,4.5,1.87
