gdp_cap,inflation,real_rate
-1.125710544,8.57,-5.93
-0.255263235,8.38,-5.52
-2.336520027,8.96,-5.62
-2.628173826,8.96,-5.06
0.012542787,7.27,-3.02
-1.479960158,7.27,-2.82
0.118719526,6.37,-1.44
0.813909005,4.57,0.43
2.440861243,6.41,-1.4
1.52432051,5.57,-0.14
1.967505541,6.17,-0.66
1.572682368,8.18,-2.16
1.980887332,8.39,-1.88
3.40217385,11.38,-4.63
1.535357281,12.69,-5.56
0.767126628,10.48,-3.23
-1.196788706,6.25,0.63
-0.95113877,2.15,3.65
-0.339925623,-0.33,5.19
-0.43655686,-0.51,5.01
-1.154227623,2.58,1.92
-1.145860206,3.7,0.8
-1.793655511,3.91,0.59
-0.519098278,4.93,-0.43
-0.372552211,4.85,-0.35
-0.094056578,6.01,-1.26
0.456582197,7.05,-2.13
-0.280383522,6.11,-0.61
0.025013263,5,0.5
-0.837085211,3.81,1.69
-0.596552338,2.91,2.09
-0.142738335,3.24,1.76
-0.574620575,4.04,0.96
-0.041087216,4.3,0.95
-0.480667281,4.36,0.89
-0.831864113,4.3,0.7
-0.042880639,3.57,1.43
0.618600132,3.16,1.59
0.10492199,3.46,1.04
0.548042097,3.27,1.06
1.029852044,2.36,1.47
0.181900893,2.47,1.03
1.415094047,2.03,1.22
0.780223223,2.57,0.43
-0.662804296,4.22,-1.22
0.565431133,4.21,-1.21
0.134763407,4.54,-1.54
0.704673025,4.45,-1.45
0.794556264,3.85,-0.85
-0.006631025,4.04,-1.04
0.069570416,4.65,-1.65
-0.528376013,4.74,-1.91
0.477949607,4.24,-1.49
1.327297428,3.86,-1.11
0.448118888,3.44,-0.69
-0.62196414,3.21,-0.46
1.244390144,4.16,-1.41
2.224912269,4.59,-1.84
1.326555018,3.02,-0.27
0.514880604,2.79,-0.04
-0.945377855,1.58,1.17
-10.58980904,2,0
-3.463410781,3.92,-2.17
-0.354562262,5.08,-3.33
0.090521954,5.54,-3.79
0.275848908,4.65,-2.9
0.595369067,3.64,-1.89
0.862860489,2.93,-1.18
0.821729128,3.28,-1.53
1.004841651,5.82,-3.82
0.524551144,8.39,-5.72
0.642582665,8.96,-5.46
0.94033343,9.02,-4.6
1.078799039,6.38,-1.46
0.528387385,4.46,0.54
-1.131167889,4.38,0.62
-0.140463382,3.39,1.61
0.730611286,3.51,1.49
0.082254287,2.95,1.97
-0.495792842,1.5,3.08
0.008879721,4.832,-0.779625
